year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes
1912,ALABAMA,AL,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,82438,9717,22680,D,R,True,12,82438,9717,36361,531,266,433,8,0,114835
1912,ARIZONA,AZ,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,10324,3021,6949,D,R,True,3,10324,3021,3652,531,266,433,8,0,20294
1912,ARKANSAS,AR,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,68814,25585,21644,D,R,True,9,68814,25585,21615,531,266,433,8,0,116043
1912,CALIFORNIA,CA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,R,283436,283610,79201,D,R,False,13,283436,283610,0,531,266,433,8,0,646247
1912,COLORADO,CO,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,114232,54956,72306,D,R,True,6,114232,54956,29639,531,266,433,8,0,241494
1912,CONNECTICUT,CT,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,74561,68324,34129,D,R,True,7,74561,68324,3119,531,266,433,8,0,177014
1912,DELAWARE,DE,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,22631,15998,8886,D,R,True,3,22631,15998,3317,531,266,433,8,0,47515
1912,FLORIDA,FL,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,35343,4279,4806,D,R,True,6,35343,4279,15533,531,266,433,8,0,44428
1912,GEORGIA,GA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,93087,0,21985,D,R,True,14,93087,0,46544,531,266,433,8,0,115072
1912,IDAHO,ID,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,33921,32810,25527,D,R,True,4,33921,32810,556,531,266,433,8,0,92258
1912,ILLINOIS,IL,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,405048,253593,386478,D,R,True,29,405048,253593,75728,531,266,433,8,0,1045119
1912,INDIANA,IN,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,281890,151267,162007,D,R,True,15,281890,151267,65312,531,266,433,8,0,595164
1912,IOWA,IA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,185325,119805,161819,D,R,True,13,185325,119805,32761,531,266,433,8,0,466949
1912,KANSAS,KS,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,143663,74845,120210,D,R,True,10,143663,74845,34410,531,266,433,8,0,338718
1912,KENTUCKY,KY,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,219484,115510,101766,D,R,True,13,219484,115510,51988,531,266,433,8,0,436760
